4550,508775663,chaflaa,Luc,
5600,526180058,Jan_Xing_Iyo,Son,Son
350,531926124,FluffiestLeafeon,Fluffy,Leafeon
350,537772902,linzar,Em%20%F0%9F%92%99,
700,568666823,FurRIT_Bot,FurRIT%20Bot,
32550,598605090,Azrealm1,Azrealm,
700,616208386,Scaltrox,Scaltrox%20%F0%9F%8E%93%F0%9F%8E%89,
3500,661250034,aotihav,aotihav,
350,664741064,PatchSalts,Patch,Salts
1400,669927747,metalcrow,MetalCrow%20(Frank),
2450,687253848,BaileyLyss,Bailey,Lyss
9100,751735389,ElectrofiedNinja,Neon,Nightrunner
1050,752886170,neongenesis,Rook,
30450,753727379,Sixty_three_bit_system,Blizzard,
306950,771529788,furryWhoHappensToBePansexual,Riley,%F0%9F%A6%8C
511700,796287178,thatbluebeagle,Sai,%F0%9F%94%9C%20FE
1050,817682082,EianTheGayFurry,Eian,
54950,843988772,AerieFops,Aerie,
350,880649425,roshan117,roshan,
3150,901596999,CobaltIngot,Cobalt,
2100,937723716,red_dragon13,Taz,(Ne%2FHe)
5600,945133407,Nexusuxen,Nexie,%E2%98%BA%EF%B8%8F%20Home%20safely!
2800,990195180,DumbedDownDog,Air,Fryer
350,994065649,PepperFoxie,Pepper%20Fox%20%E2%87%A2%20FurPoc,
23100,1005100063,GBCreator,Creator,and%20his%20Pride%20Bus
1750,1010183140,DergyCorgi,Hyde,
1050,1011712719,Misterburger44,Logan,
2450,1027289303,SharkoFarko,Sharko!,'20
700,1062989179,SspaceTyme,Milo%20Biggsby%2C,(Bandito%20Buddy)
2100,1067134620,nitepone,Luna,
6300,1240808478,SparkHoro,Sparky,
1750,1249014349,Dustysergal,Dusty,
1400,1292900557,W1reframe,Wireframe.srgl,
4900,1359159575,DragoKiro,Kiro,Derginson
78750,1375146797,arrow5169,Bowie%20%3AP,
25200,1377854167,B1smuthF0x,Bismuth%20%E2%9E%A1%EF%B8%8F%20FE,
3150,1415021474,dollarstorewife,xien,
7350,1458219672,cow_moo,Boochie,
9450,1538412513,SkipperTheDutchie,Skipper%2FScottie,
8750,1706430004,SomeGuy234,Gavin,Sigler
74550,1731152417,Mitzyboi,mitz%20%F0%9F%94%9C%20FE%2CFWA%20%2Ffine,
350,1804547304,fluffwusky,Fluffy~,
6300,1821121028,prrringle,Pringle%20the%20Cat,
64050,1869231939,dumbassdog,Mason%20%F0%9F%94%9C%20AC,
1050,1878550629,willhearth,William,Hearthfire
1050,1882983829,nyla_smokeyface,Nyla,Smokeyface
25200,1932981474,Ozzy_Uncia,The%20Wonderful%20Wizard%20of%20Oz,
12250,1963914264,LiamTheWolfie,Liam,The%20Wolf
17850,1991410557,PitterPatterPuppyPaws,Jack,Mull
4200,2076251814,zaajy,charles%20%2F%20zaaj%20%F0%9F%94%9C%20FE%2C%20FWA%2C%20AC,
114800,5122701933,mausilooksatyou,Mau,
700,5204210647,Floof4911,Rose,
24850,5342054924,SparksTheFolf,Sparks%20Folfy,
7700,5342561124,torin_sol,Torin,Sol
4200,5348271526,ma1ist4ir3,Malistaire,Drake
116550,5396397132,prwlrDraws,Eucleia%20(Euclid),
28000,5485529202,baileyisfluffy,Bailey%20%F0%9F%91%91%F0%9F%90%89,
2800,5605378105,NeptuneCJ,CJ,Neptune
29400,5658849914,adrianyeena,adrian%20%3A3,
72450,5781770362,Baked_beans_OwO,Baked%20Beanz,
2800,5794448239,Sol_conor,Sol,
350,5815359670,Rhizomic_Racoon,Rhiz,
36050,5850729855,PhotoLlyoidian,Llyoid%20%F0%9F%AB%8F,
159950,5938993109,halifaxx57,Halifax,%F0%9F%94%9CFE
350,5961578165,gladi8rix,gladiatrix,
2800,6046829646,CheesyBarrel,CheesyBarrel,
700,6052188860,uvleks,Kel,
700,6087866611,chamberham,anna,
1400,6115736122,computermachine,Cassette,Savage
2100,6160360658,SARankDirector,SARankDirector,
350,6185371581,HappyMrHyena,Happy,
82950,6211442596,Aoammori,Mori,
17850,6211841670,QuietDragon,Kinkade,
2100,6332357576,ZapB8,Michael,
39900,6352865391,Varmglothr_Brennirsson,Var,
1750,6437895383,Scapsters,Scraps,
15400,6512210368,MaxTheFur,Max,
700,6549586130,shackhorn,Shack,
2450,6672692895,Djimbus1,Ander,
71400,6750616779,bitbotwomp,Bit%20%3A%5D,
350,6845212897,Neon_Wolf31,Nick,F
350,6978073915,BackupVar,Var,(Backup)
5600,7001327550,purplepickleeater,Pickle,
350,7159928773,phant0mF0rces,Phantom,
4900,7174312284,,Arkali,
3150,7259616917,furdieur,furdieur,
350,7335198846,novanokona,Nic,
10500,7350267104,Scarlett4444444,Scarlett,
17500,7363011413,The_jaganath,Jag,
61250,7375410463,Frankster854,Foxstripe,Frankster854
2450,7439948896,Gayfishmarket,Sun%20%E2%98%80%EF%B8%8F,
2450,7481314569,Noki_etc,NOKI%20%7C%20NIMBUS%20%E2%9B%85%EF%B8%8F,--%3E%20ANE!!!
1400,7752000865,WheresGesualdo,Where%E2%80%99s%20Gesualdo%3F,
3850,7911172182,indigodingo,Indigo,
700,8003110882,JibbyOpalo,Jibby,
1400,8133155085,bubbernife,%E2%9C%A8Bj%C3%B6rn%E2%9C%A8,
